"GEOID","Year","Median AQI","rate_notgood_aqi"
"12089",2018,43,0
"12091",2018,33,0
"06059",2018,40,0.00547945205479452
"12097",2018,33,0.00547945205479452
"12099",2018,42,0
"12101",2018,35,0.00547945205479452
"12103",2018,46,0
"05113",2018,39,0.00547945205479452
"12107",2018,14,0
"12113",2018,43,0
"12115",2018,45,0
"12117",2018,39,0.00547945205479452
"12111",2018,33,0
"12127",2018,41,0
"12129",2018,41,0
"01007",2018,42,0.00276243093922652
"13049",2018,26,0
"13051",2018,44,0
"13055",2018,35,0
"01025",2018,46,0.00602409638554217
"13063",2018,44,0
"13067",2018,41,0
"01031",2018,29,0
"05027",2018,36,0
"13085",2018,35,0.00816326530612245
"01049",2018,49,0
"13095",2018,39,0.00280112044817927
"08035",2018,37,0
"13115",2018,52,0
"05049",2018,52,0.010958904109589
"13127",2018,35,0
"13135",2018,52,0
"13139",2018,41,0
"01067",2018,38,0.00847457627118644
"01069",2018,46,0.0062111801242236
"01085",2018,49,0
"13213",2018,37,0
"13215",2018,39,0
"01109",2018,33,0.00347222222222222
"13245",2018,47,0.010989010989011
"13247",2018,36,0.00823045267489712
"01119",2018,34,0
"01127",2018,47,0
"01129",2018,37,0
"15001",2018,55,0.0383561643835616
"15003",2018,31,0
"15007",2018,18,0
"15009",2018,25,0
"16001",2018,42,0.0191780821917808
"16005",2018,29,0.010958904109589
"16009",2018,53,0.03601108033241
"16013",2018,17,0.00826446280991736
"16015",2018,52,0.0164383561643836
"16017",2018,39,0.0440771349862259
"16019",2018,36,0.00852272727272727
"06007",2018,41,0.00826446280991736
"16027",2018,35,0.0136986301369863
"08027",2018,7,0.0222222222222222
"01059",2018,25,0.00940438871473354
"16049",2018,43,0.00547945205479452
"16053",2018,24,0.015625
"16055",2018,33,0.0302114803625378
"16057",2018,14,0.0164383561643836
"16059",2018,38,0.00833333333333333
"16069",2018,25,0.0136986301369863
"16079",2018,53,0.0356164383561644
"16083",2018,39,0.0140845070422535
"16085",2018,29,0.0056657223796034
"08001",2018,35,0
"17019",2018,47,0.010958904109589
"05019",2018,32,0.00278551532033426
"13075",2018,59,0.0520547945205479
"17043",2018,53,0.0110803324099723
"13103",2018,39,0.00408163265306122
"12047",2018,47,0.00828729281767956
"17083",2018,47,0.00842696629213483
"17085",2018,33,0.00581395348837209
"17089",2018,39,0.0137362637362637
"06033",2018,35,0.0227272727272727
"01087",2018,52,0.00821917808219178
"17117",2018,36,0.00900900900900901
"01089",2018,53,0.0273972602739726
"17111",2018,46,0.0220994475138122
"17113",2018,52,0.00273972602739726
"17143",2018,49,0.00821917808219178
"01111",2018,46,0.00275482093663912
"17161",2018,46,0.00273972602739726
"17",2018,52,0.0137362637362637
"17167",2018,49,0.00275482093663912
"17197",2018,49,0.010958904109589
"17201",2018,36,0.00828729281767956
"18003",2018,50,0.0164383561643836
"18005",2018,44,0.010958904109589
"05009",2018,34,0.0136986301369863
"17009",2018,33,0
"05015",2018,32,0.00835654596100279
"05019",2018,37,0.0112044817927171
"18035",2018,36,0.0110803324099723
"18037",2018,42,0
"18039",2018,44,0.00826446280991736
"13115",2018,35,0.0144508670520231
"01063",2018,38,0.00831024930747922
"12047",2018,45,0.0164383561643836
"18063",2018,33,0.00547945205479452
"01067",2018,41,0.00862068965517241
"05061",2018,44,0.0136986301369863
"18069",2018,31,0
"01071",2018,32,0
"17095",2018,35,0.0112044817927171
"18091",2018,37,0.0192837465564738
"06033",2018,54,0.0164383561643836
"01089",2018,48,0.0191780821917808
"01093",2018,55,0.0301369863013699
"01099",2018,48,0
"01103",2018,33,0
"01105",2018,35,0
"18127",2018,47,0.0136986301369863
"18129",2018,34,0
"01117",2018,34,0.0138504155124654
"18147",2018,41,0
"18141",2018,51,0.0191780821917808
"18153",2018,43,0
"18157",2018,46,0
"18163",2018,48,0.00821917808219178
"18167",2018,50,0.00821917808219178
"17185",2018,35,0.0138121546961326
"18173",2018,35,0.00821917808219178
"18183",2018,41,0
"19013",2018,53,0
"19017",2018,37,0.00816326530612245
"19033",2018,16,0
"17027",2018,52,0
"18061",2018,39,0.00816326530612245
"05071",2018,50,0
"01081",2018,45,0
"19113",2018,50,0.010958904109589
"01101",2018,46,0
"19139",2018,52,0
"19147",2018,49,0.00547945205479452
"05113",2018,46,0.00547945205479452
"19155",2018,42,0.00806451612903226
"05127",2018,56,0.010958904109589
"05141",2018,43,0
"19193",2018,44,0
"20017",2018,30,0
"17053",2018,17,0.00282485875706215
"05071",2018,40,0
"20103",2018,33,0
"20133",2018,40,0
"08115",2018,44,0
"20177",2018,50,0
"20181",2018,14,0
"20191",2018,38,0
"20195",2018,39,0.00274725274725275
"20209",2018,48,0.00821917808219178
"21013",2018,39,0
"05009",2018,38,0.00823045267489712
"21019",2018,44,0.00274725274725275
"21029",2018,38,0.00858369098712446
"21037",2018,45,0.00285714285714286
"21043",2018,35,0
"17021",2018,41,0
"18027",2018,46,0.00280112044817927
"21061",2018,43,0
"01057",2018,48,0
"21089",2018,36,0.00420168067226891
"13141",2018,38,0
"17069",2018,49,0
"17071",2018,49,0.00555555555555556
"01073",2018,54,0.0219178082191781
"21113",2018,39,0
"17105",2018,39,0
"21145",2018,50,0
"01103",2018,34,0
"21185",2018,38,0.00411522633744856
"01105",2018,48,0
"01109",2018,41,0
"05119",2018,39,0
"21213",2018,38,0
"21221",2018,35,0
"13301",2018,48,0
"01129",2018,35,0
"22005",2018,31,0.00824175824175824
"22015",2018,38,0
"22017",2018,39,0.00554016620498615
"22019",2018,53,0.0164383561643836
"22033",2018,51,0.0301369863013699
"22047",2018,38,0.0219178082191781
"01073",2018,47,0.00273972602739726
"05073",2018,47,0
"22057",2018,39,0
"17105",2018,46,0
"22071",2018,46,0
"05103",2018,34,0
"22077",2018,31,0
"22079",2018,41,0
"22087",2018,49,0.00821917808219178
"22093",2018,27,0
"22095",2018,31,0.00278551532033426
"22099",2018,33,0
"22103",2018,38,0.00273972602739726
"22105",2018,37,0
"22109",2018,36,0
"22121",2018,46,0.00821917808219178
"23001",2018,34,0
"23003",2018,42,0.00547945205479452
"17035",2018,41,0
"13141",2018,37,0.00273972602739726
"23011",2018,30,0
"17095",2018,36,0.0045662100456621
"23017",2018,39,0
"23019",2018,37,0
"01129",2018,36,0.00294985250737463
"23031",2018,40,0.00881057268722467
"24003",2018,42,0.0344827586206897
"24005",2018,46,0.0136986301369863
"24",2018,51,0.021978021978022
"24009",2018,39,0.00411522633744856
"05015",2018,41,0
"24015",2018,47,0.0195530726256983
"24017",2018,39,0.00425531914893617
"24019",2018,40,0.00547945205479452
"24021",2018,41,0
"24023",2018,39,0
"24025",2018,42,0.0279329608938547
"05061",2018,47,0
"10001",2018,42,0.00831024930747922
"01101",2018,46,0.00288184438040346
"24033",2018,42,0.0219178082191781
"01129",2018,43,0
"25001",2018,36,0.0111111111111111
"25003",2018,42,0.00273972602739726
"25005",2018,44,0.0273972602739726
"25007",2018,37,0.00833333333333333
"25009",2018,42,0.010958904109589
"01059",2018,38,0
"25013",2018,41,0.00547945205479452
"25015",2018,40,0.00550964187327824
"09007",2018,38,0
"25021",2018,32,0.0028328611898017
"19149",2018,39,0.00824175824175824
"25025",2018,53,0.00273972602739726
"24047",2018,40,0.010958904109589
"26005",2018,40,0.027972027972028
"12005",2018,37,0
"26019",2018,38,0.008
"13019",2018,40,0.0326530612244898
"17017",2018,40,0.0291666666666667
"26033",2018,43,0
"17027",2018,39,0.0163934426229508
"26049",2018,43,0.00828729281767956
"26063",2018,38,0.012448132780083
"26065",2018,43,0.00584795321637427
"26077",2018,44,0.0112359550561798
"10001",2018,43,0.010958904109589
"26083",2018,12,0
"26091",2018,43,0.0116279069767442
"26099",2018,39,0.0334448160535117
"26101",2018,34,0.00377358490566038
"17125",2018,37,0.00396825396825397
"26113",2018,37,0
"01099",2018,13,0
"26121",2018,40,0.025
"26125",2018,41,0.0323741007194245
"20143",2018,40,0.013840830449827
"26153",2018,33,0.0056980056980057
"01115",2018,44,0.0225806451612903
"26157",2018,35,0.00280898876404494
"26161",2018,46,0.0164383561643836
"13305",2018,57,0.0191780821917808
"26165",2018,35,0.00561797752808989
"27003",2018,44,0.00273972602739726
"27005",2018,35,0
"27007",2018,31,0.00284090909090909
"27017",2018,30,0
"17017",2018,31,0
"13075",2018,23,0
"27035",2018,32,0.0028735632183908
"27037",2018,41,0
"27049",2018,38,0.00432900432900433
"27053",2018,51,0.00273972602739726
"06033",2018,34,0
"19119",2018,36,0
"27095",2018,30,0
"27109",2018,44,0
"27123",2018,44,0.00273972602739726
"27",2018,39,0.00547945205479452
"05127",2018,37,0.00560224089635854
"27145",2018,38,0.00273972602739726
"01129",2018,53,0
"27169",2018,26,0
"19197",2018,42,0.00821917808219178
"28011",2018,47,0.00641025641025641
"12027",2018,49,0.00821917808219178
"28035",2018,49,0.00278551532033426
"28043",2018,36,0
"13141",2018,41,0.00275482093663912
"18061",2018,45,0.00824175824175824
"28049",2018,52,0.00273972602739726
"01071",2018,47,0.00552486187845304
"01077",2018,37,0
"01081",2018,36,0
"28161",2018,29,0
"29003",2018,42,0.00408163265306122
"05009",2018,40,0.00408163265306122
"19019",2018,47,0
"29027",2018,40,0
"17017",2018,41,0
"19031",2018,43,0
"01027",2018,42,0.0303030303030303
"17027",2018,42,0.00816326530612245
"01063",2018,44,0
"01071",2018,44,0
"13159",2018,36,0
"01073",2018,42,0.0170940170940171
"05079",2018,41,0.0122448979591837
"01099",2018,35,0.00273972602739726
"01105",2018,39,0.00408163265306122
"29",2018,42,0.0326530612244898
"29",2018,51,0.0164383561643836
"29",2018,40,0
"29",2018,55,0.0273972602739726
"29207",2018,32,0
"29213",2018,28,0
"30013",2018,33,0.0166666666666667
"30027",2018,40,0.0164383561643836
"30029",2018,45,0.0438356164383562
"17059",2018,32,0.0164383561643836
"06033",2018,11,0.0254237288135593
"30049",2018,46,0.0273972602739726
"05079",2018,55,0.0547945205479452
"30063",2018,54,0.010958904109589
"05107",2018,37,0.0111111111111111
"30075",2018,41,0.0110497237569061
"21197",2018,12,0
"30081",2018,24,0
"17159",2018,41,0.00274725274725275
"30085",2018,17,0.019047619047619
"30087",2018,38,0.00547945205479452
"30089",2018,37,0.0383561643835616
"20179",2018,20,0.00892857142857143
"30093",2018,25,0.00275482093663912
"30111",2018,37,0.00869565217391304
"17017",2018,15,0
"08035",2018,47,0.010958904109589
"13139",2018,30,0
"17095",2018,34,0
"31109",2018,36,0
"31153",2018,46,0
"31157",2018,29,0
"13275",2018,21,0
"01129",2018,39,0
"32510",2018,46,0.0219178082191781
"32001",2018,44,0.0150602409638554
"05019",2018,63,0.134246575342466
"08035",2018,21,0.0276243093922652
"32007",2018,19,0.0115606936416185
"19119",2018,40,0.0220994475138122
"32023",2018,18,0
"32031",2018,51,0.0520547945205479
"32033",2018,44,0.0169014084507042
"33001",2018,33,0
"33005",2018,36,0
"33007",2018,44,0.011070110701107
"33009",2018,39,0
"12057",2018,37,0
"33013",2018,38,0
"33015",2018,39,0.00821917808219178
"34001",2018,41,0.00273972602739726
"34003",2018,53,0.0383561643835616
"13039",2018,52,0.0136986301369863
"17035",2018,43,0
"25009",2018,43,0.010989010989011
"34015",2018,40,0.0253623188405797
"34017",2018,49,0.0246575342465753
"34019",2018,43,0.0142045454545455
"17131",2018,43,0.0191780821917808
"09007",2018,42,0.0164383561643836
"34025",2018,33,0
"20127",2018,35,0.0136986301369863
"34029",2018,39,0.0229226361031519
"34031",2018,39,0.0108303249097473
"05139",2018,52,0
"13301",2018,40,0.00280112044817927
"35001",2018,57,0.0520547945205479
"35003",2018,11,0
"35005",2018,28,0
"35",2018,58,0.0876712328767123
"35015",2018,48,0.0547945205479452
"35025",2018,50,0.0164383561643836
"05079",2018,15,0
"35028",2018,13,0
"35029",2018,16,0.00840336134453781
"35039",2018,46,0.00828729281767956
"08111",2018,47,0.0438356164383562
"35043",2018,45,0.0338983050847458
"35049",2018,44,0.00821917808219178
"35053",2018,18,0
"35055",2018,30,0
"35061",2018,45,0.0139275766016713
"36001",2018,42,0.00547945205479452
"36005",2018,44,0.0246575342465753
"20019",2018,37,0.0111731843575419
"36027",2018,31,0.00573065902578797
"36029",2018,45,0.00547945205479452
"25009",2018,41,0.00547945205479452
"12047",2018,33,0
"36043",2018,36,0
"01073",2018,33,0.0060790273556231
"06031",2018,34,0
"01099",2018,42,0.010958904109589
"12089",2018,28,0
"36061",2018,51,0.0301369863013699
"36063",2018,34,0.003125
"16071",2018,24,0
"36067",2018,37,0.0054945054945055
"06059",2018,39,0.00273972602739726
"36075",2018,32,0.00285714285714286
"12107",2018,31,0.00593471810089021
"36081",2018,45,0.0219178082191781
"13245",2018,42,0.0165289256198347
"36087",2018,38,0.0164383561643836
"36091",2018,31,0.00277008310249307
"18151",2018,34,0
"25025",2018,43,0.0301369863013699
"36109",2018,33,0.00277777777777778
"13305",2018,38,0.0167364016736402
"36119",2018,38,0.0328767123287671
"17003",2018,40,0
"37011",2018,38,0
"37021",2018,40,0
"21033",2018,39,0
"37031",2018,38,0
"37033",2018,40,0
"37035",2018,43,0
"17035",2018,42,0
"37057",2018,49,0
"37063",2018,48,0
"37065",2018,36,0
"13117",2018,50,0.00547945205479452
"04009",2018,43,0
"37077",2018,42,0
"37081",2018,44,0.0028169014084507
"37087",2018,44,0.00357142857142857
"37095",2018,26,0
"01071",2018,43,0.00421940928270042
"37101",2018,44,0
"01081",2018,52,0
"37107",2018,36,0.00359712230215827
"05079",2018,41,0
"01087",2018,31,0
"12085",2018,34,0
"37119",2018,51,0.0138888888888889
"13205",2018,27,0
"01101",2018,39,0
"37129",2018,31,0
"37145",2018,40,0
"37147",2018,41,0
"33015",2018,42,0
"21205",2018,35,0
"37173",2018,42,0
"05139",2018,44,0.0158730158730159
"37183",2018,52,0
"37199",2018,44,0
"38007",2018,38,0
"13033",2018,34,0.00277008310249307
"38015",2018,41,0.010958904109589
"17017",2018,39,0.00277777777777778
"38025",2018,35,0
"38053",2018,38,0
"17131",2018,38,0.00547945205479452
"38065",2018,39,0.00833333333333333
"38101",2018,34,0.00833333333333333
"38105",2018,38,0
"08001",2018,31,0
"18003",2018,42,0.0140449438202247
"39007",2018,39,0.0122950819672131
"39009",2018,37,0
"39013",2018,18,0
"01013",2018,42,0.0164383561643836
"05019",2018,52,0.0110497237569061
"39025",2018,44,0.00561797752808989
"17027",2018,41,0.00408163265306122
"39029",2018,12,0
"39035",2018,53,0.0301369863013699
"18035",2018,39,0
"01057",2018,35,0
"01059",2018,47,0.00547945205479452
"39055",2018,42,0.036734693877551
"01063",2018,47,0.00275482093663912
"12047",2018,57,0.0219178082191781
"18061",2018,3,0
"01073",2018,55,0.00581395348837209
"17095",2018,40,0.00408163265306122
"06033",2018,42,0.0246575342465753
"01079",2018,42,0.00547945205479452
"39089",2018,40,0
"39093",2018,41,0.00273972602739726
"19117",2018,45,0.028735632183908
"01089",2018,41,0.0040983606557377
"39099",2018,43,0
"39103",2018,42,0
"18103",2018,40,0.00408163265306122
"01101",2018,49,0.0110192837465565
"18113",2018,36,0
"39133",2018,39,0
"39135",2018,50,0.00273972602739726
"39145",2018,13,0
"17175",2018,51,0.00821917808219178
"08117",2018,48,0.00273972602739726
"39155",2018,42,0.0113314447592068
"13301",2018,48,0.0139664804469274
"01129",2018,39,0.0122448979591837
"39173",2018,38,0.00816326530612245
"19001",2018,42,0.00547945205479452
"13029",2018,38,0.00996677740863787
"40017",2018,36,0.0166666666666667
"21043",2018,41,0.00561797752808989
"01023",2018,37,0
"05025",2018,52,0.0164383561643836
"20033",2018,44,0.010958904109589
"40037",2018,36,0.00290697674418605
"08027",2018,16,0.00274725274725275
"40043",2018,47,0.0193370165745856
"01073",2018,43,0.0187265917602996
